,generation,final fitness
0,0,0.0020258666666666666
1,5,0.017074199999999998
2,10,0.022805066666666672
3,15,0.040894533333333344
4,20,0.04844253333333334
5,25,0.05380253333333335
6,30,0.05711373333333334
7,35,0.06809386666666667
8,40,0.07349219999999998
9,45,0.07356079999999998
10,50,0.08718046666666668
11,55,0.08490120000000004
12,60,0.09165633333333331
13,65,0.08061880000000003
14,70,0.08489179999999998
15,75,0.07119233333333333
16,80,0.11117339999999996
17,85,0.09571693333333335
18,90,0.08537506666666668
19,95,0.07662006666666663
20,100,0.1024947333333333
21,105,0.08812213333333332
22,110,0.11159479999999995
23,115,0.09917479999999998
24,120,0.0976378
25,125,0.09887099999999997
26,130,0.10722406666666669
27,135,0.08570846666666666
28,140,0.10293420000000002
29,145,0.10260746666666663
30,150,0.12164306666666659
31,155,0.11753706666666663
32,160,0.1037592
33,165,0.12009773333333328
34,170,0.10404726666666664
35,175,0.11197833333333328
36,180,0.12409006666666668
37,185,0.11946039999999994
38,190,0.10412193333333332
39,195,0.1297799333333333
