,generation,final fitness
0,0,0.0164701706123525
1,5,0.01871192152969153
2,10,0.05634179472943094
3,15,0.04951161356018741
4,20,0.05783933538115159
5,25,0.07456542203103707
6,30,0.07871183218974556
7,35,0.09157426485281404
8,40,0.08448156981259285
9,45,0.08999869769057772
10,50,0.08653490790041517
11,55,0.09705194385825906
12,60,0.09228936598908168
13,65,0.10690463578036892
14,70,0.11186410874211027
15,75,0.10768153419536083
16,80,0.12224676920611577
17,85,0.12398040549484689
18,90,0.1085081575643048
19,95,0.11888009326488042
20,100,0.1262415898901784
21,105,0.14078729621903624
22,110,0.148790335629256
23,115,0.1340978998095545
24,120,0.12691530091626724
25,125,0.14104224433362744
26,130,0.1319527585691182
27,135,0.14266412783177132
28,140,0.15252756000364873
29,145,0.14520914225810067
30,150,0.13822002519654425
31,155,0.14037289432080538
32,160,0.1543514913004298
33,165,0.14537869583722823
34,170,0.13698115213415304
35,175,0.1509155555379674
36,180,0.14643907344466958
37,185,0.14040947143266366
38,190,0.1181563603507375
39,195,0.16364104559879425
