,mutation_probability,final fitness
0,0.0,70402.9365835262
1,0.001,632408.4722074072
2,0.002,259310.9545887517
3,0.003,803776.8534425177
4,0.004,129640.5228407386
5,0.005,914351.8518518519
6,0.006,570412.3917223593
7,0.007,193992.71438304393
8,0.008,438020.1254211076
9,0.009,6.497926834705078
