,mutation_probability,final fitness
0,0.0,1545370.3703703706
1,0.001,5549074.074074073
2,0.002,6008796.296296296
3,0.003,6590740.740740741
4,0.004,6223148.148148147
5,0.005,7816203.703703703
6,0.006,6223148.148148147
7,0.007,4180555.5555555536
8,0.008,5395833.333333331
9,0.009,6027777.777777778
10,0.01,7264814.814814815
