,mutation_probability,final fitness
0,0.0,1568055.5555555555
1,0.001,3400000.0
2,0.002,836574.0740740739
3,0.003,2967129.629629629
4,0.004,2741203.703703704
5,0.005,2872685.185185185
6,0.006,1842129.62962963
7,0.007,4949537.037037035
8,0.008,4333796.296296295
9,0.009,4685185.185185184
10,0.01,4152777.777777776
