,generation,final fitness
0,0,0.037651229657170174
1,5,0.07391749109116039
2,10,0.10064282124699
3,15,0.12424926514036896
4,20,0.12809614633984254
5,25,0.12946876510062486
6,30,0.15058029356509253
7,35,0.14996768809457148
8,40,0.15155619594506486
9,45,0.16592199912436686
10,50,0.16778933193027679
11,55,0.17096192097090937
12,60,0.1800096560516556
13,65,0.16295281590093166
14,70,0.1748858915707996
15,75,0.17047641050183723
16,80,0.18216980522212206
17,85,0.17971504328159454
18,90,0.18905591976789748
19,95,0.20344690700503598
20,100,0.18971413916850244
21,105,0.18428383409279914
22,110,0.19481470239199858
23,115,0.20171211991460608
24,120,0.18230037662232715
25,125,0.1992806564719327
26,130,0.1938218656332597
27,135,0.19170568510895947
28,140,0.1985155556697364
29,145,0.1955378256679817
30,150,0.21152871510356405
31,155,0.21388766623064387
32,160,0.2014253759552588
33,165,0.206521759371916
34,170,0.21345446494609593
35,175,0.19616096937121602
36,180,0.19347343438438266
37,185,0.2022142641847249
38,190,0.204199009778701
39,195,0.21701195747331334
