,final fitness
0,0.3649333333333333
1,2.9400999999999997
2,13.54386666666667
3,10.9633
4,21.729566666666667
5,21.68926666666667
6,31.26443333333334
7,34.64783333333333
8,59.09663333333334
9,37.940900000000006
10,49.05573333333333
11,71.99636666666666
12,49.2754
13,69.695
14,54.35913333333334
15,106.84646666666664
16,80.35746666666668
17,66.81579999999998
18,68.44699999999999
19,41.579766666666664
20,62.90846666666668
21,84.1284
22,49.44886666666666
23,73.84230000000002
24,60.039300000000004
25,95.47286666666668
26,89.37959999999998
27,134.0259
28,82.15273333333336
29,74.35509999999998
30,125.10373333333327
31,135.32039999999995
32,84.0928
33,98.8464
34,67.37173333333334
35,96.72913333333334
36,69.55056666666665
37,138.94293333333337
38,120.21836666666667
39,132.29383333333334
40,101.52303333333332
41,156.43953333333334
42,97.37489999999998
43,127.9584666666667
44,125.40533333333333
45,131.4076
46,158.64456666666666
47,138.18796666666665
48,65.4786
49,125.46566666666666
50,106.36880000000002
51,84.99246666666667
52,136.7865
53,123.77633333333334
54,109.6813
55,155.85033333333334
56,153.71093333333332
57,185.05230000000003
58,109.94273333333334
59,141.87580000000003
60,117.48523333333331
61,125.00723333333335
62,134.3525
63,123.83169999999998
64,134.00276666666662
65,93.81506666666667
66,90.52286666666664
67,162.07086666666666
68,140.9463
69,162.2414333333333
70,149.64600000000002
71,191.19306666666665
72,144.54923333333335
73,139.68596666666664
74,173.63413333333335
75,182.3224
76,143.05313333333334
77,160.273
78,234.67660000000004
79,139.50613333333334
80,146.63603333333333
81,218.92126666666664
82,159.00356666666664
83,192.3432333333333
84,129.25086666666664
85,163.7613333333333
86,138.60243333333335
87,135.68353333333332
88,121.94793333333335
89,176.0894
90,168.9498
91,177.4644
92,192.6390666666667
93,114.6638
94,143.57616666666667
95,149.03116666666665
96,202.85523333333333
97,173.93013333333334
98,116.57840000000002
99,143.70720000000003
