,final fitness
0,0.5760666666666665
1,8.691999999999998
2,17.365833333333338
3,17.63136666666666
4,28.13076666666666
5,29.026433333333333
6,46.65253333333334
7,34.27603333333333
8,53.288566666666654
9,45.89509999999999
10,79.45233333333334
11,53.3984
12,55.56923333333332
13,76.27859999999997
14,99.3558
15,83.2576
16,99.95846666666667
17,88.1877
18,101.8707
19,107.8674
20,51.90216666666667
21,89.338
22,76.25893333333333
23,99.02606666666667
24,92.72480000000003
25,112.7617
26,99.53856666666667
27,87.91840000000002
28,90.13716666666666
29,100.61703333333332
30,92.23469999999999
31,126.74830000000001
32,147.31833333333333
33,113.63346666666665
34,81.19886666666667
35,101.4428
36,122.36926666666666
37,137.0857333333333
38,129.49939999999998
39,147.66760000000002
40,111.31583333333333
41,86.0156
42,129.78056666666666
43,121.16856666666669
44,139.82736666666668
45,145.18066666666667
46,131.51973333333336
47,92.76823333333333
48,127.25733333333339
49,117.98653333333333
50,143.34720000000002
51,140.40913333333336
52,129.17963333333333
53,122.01103333333333
54,123.78786666666664
55,130.29903333333334
56,133.59369999999998
57,153.3453
58,118.04193333333333
59,108.23356666666665
60,105.32566666666668
61,173.5236666666667
62,143.37373333333335
63,120.43433333333331
64,135.20096666666666
65,158.98686666666669
66,87.99456666666666
67,118.92430000000003
68,198.90583333333333
69,109.38669999999998
70,152.8605666666667
71,177.2108
72,114.68166666666662
73,137.5092666666667
74,167.56740000000002
75,140.56383333333335
76,185.55206666666666
77,178.5985333333333
78,152.04880000000003
79,141.84973333333332
80,97.78603333333331
81,168.6754666666667
82,162.4878666666667
83,138.35219999999995
84,139.29843333333332
85,135.60179999999997
86,172.86816666666667
87,194.64846666666662
88,162.39756666666668
89,124.19723333333333
90,173.3458333333333
91,125.96539999999999
92,132.11726666666667
93,127.00566666666668
94,147.9801333333333
95,161.74593333333334
96,126.48743333333331
97,88.69550000000001
98,149.44480000000001
99,181.64083333333335
